anglais							: francais
in two days						: dans deux jours                                  
in two months						: dans deux mois                                  				      
next week                                               : la semaine prochaine
next weekend                                            : le week-end prochain
next month                                              : le mois prochain
next year                                               : l'année prochaine						     
on Monday I am getting a train		 		: lundi je prendrai un train
on 12th October I am getting a train			: le 12 octobre je prendrai un train
on Saturday morning I am getting a train		: samedi matin je prendrai le train						       
this morning						: ce matin
this afternoon						: cette après-midi
this evening						: ce soir
tomorrow						: demain
tonight                                                 : ce soir
tonight                                                 : cette nuit						       	      
come back						: revenir							       
cycle							: aller à vélo							       
fly							: voyager en avion						       
get a bus						: prendre l'autobus
get a train						: prendre le train
go on holiday to Spain					: aller en vacances en Espagne
leave							: partir
spend time						: passer du temps
stay in a hotel						: séjourner, loger à l'hôtel
travel by boat						: voyager en bateau
bungee jumping						: saut à l'élastique						       
camping							: camping							       	      
canoeing						: canoë								       
climbing						: escalade							       
hiking							: randonnée							       
kite surfing						: kitesurf							       
paragliding						: parapente							       
sightseeing						: tourisme							       
snorkelling						: plongée avec tuba						       
sunbathing						: bain de soleil							       
buy souvenirs						: acheter des souvenirs						       
go on a coach trip					: faire un voyage en car						       
go to a theme park					: aller dans un parc à thème					       
go to an exhibition					: aller voir une exposition					       
learn local customs					: apprendre les coutumes locales					       
look at the view					: regarder la vue						       	      
meet local people					: rencontrer les habitants					       
try local food						: goûter la cuisine locale					       
try out the language					: s'essayer à parler la langue					       
visit a castle						: visiter un château						       
adventure (holidays)					: (vacances) aventure						       
airport							: aéroport							       
boarding pass						: carte d'embarquement						       
bus station						: gare routière							       
platform						: quai
gate							: porte
information						: information
station							: gare, station							       
ticket							: billet								       
timetable						: horaire							       	       
tourist information center				: office de tourisme						       
trip							: voyage								       
Underground						: métro								       
Are you doing something special?			: Tu fais quelque chose de particulier ?		       
Can you give me some information about			: Est-ce que vous pouvez me donner des renseignements sur 	       
How do you get there?		 			: Comment fait-on pour y aller?					       
How long does it take?					: Ca prend combien de temps ?					       
How much does it cost?					: Ça coûte combien?						       
I'm really looking forward to meeting you		: J'ai hâte de te rencontrer				       
Which platform does the train leave from?		: Le train part de quel quai?					       
Could I borrow						: Est-ce que je peux t'emprunter ?			       
Could you help me?					: Tu pourrais m'aider?				       
I'm in a hurry						: Je suis pressé							       
I'm sorry						: Je suis désolé							       
I've got a problem with my car				: J'ai un problème de voiture					       
Of course						: Bien sûr							       
Sure							: D'accord							       
Would you mind helping me?				: Est-ce que ça vous ennuierait de m'aider?                              
							
										 